GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	padj
GO:0006091	5.33855839881748e-18	3.98778801843318	24.4655567435467	72	282	generation of precursor metabolites and energy	4.05730438310129e-16
GO:0006629	2.92523475736819e-12	2.23928906281847	68.2779899190469	124	787	lipid metabolic process	2.19392606802614e-10
GO:0009056	1.55826025850667e-09	1.78769493177388	128.747823430579	188	1484	catabolic process	1.15311259129494e-07
GO:0019748	7.39980625447299e-06	2.37264537264537	19.5203910187872	40	225	secondary metabolic process	0.000540185856576528
GO:0009058	4.79615183537399e-05	1.45530270855311	151.391477012372	192	1745	biosynthetic process	0.00345322932146927
GO:0005975	0.00132537371540116	1.58517371956107	42.5978310676646	62	491	carbohydrate metabolic process	0.0941015337934825
GO:0008152	0.0168776152812845	1.31074245960264	149.264623955432	167	2061	metabolic process	1
GO:0007005	0.246467114078871	1.2104275286757	16.9176722162823	20	195	mitochondrion organization	1
GO:0044765	0.259082705219853	1.12310741181134	41.7302581334963	46	481	single-organism transport	1
GO:0006811	0.259082705219853	1.12310741181134	41.7302581334963	46	481	ion transport	1
GO:0009719	0.281313360499747	1.09885957217086	52.7484343974339	57	608	response to endogenous stimulus	1
GO:0009605	0.321613097403657	1.06502629889727	82.8532152130747	87	955	response to external stimulus	1
GO:0009607	0.339621621541581	1.07330942457433	51.8808614632656	55	598	response to biotic stimulus	1
GO:0008037	0.548961668638298	0.998158236860026	11.0181762639377	11	127	cell recognition	1
GO:0007610	0.665116286993906	0.947102313532369	57.5200855353597	55	663	behavior	1
GO:0009628	0.691416307794544	0.939047102645103	63.1593096074538	60	728	response to abiotic stimulus	1
GO:0007267	0.728598118457533	0.920014832483138	54.6570948526042	51	630	cell-cell signaling	1
GO:0065008	0.788295439702538	0.867944989926161	32.7942569115625	29	378	regulation of biological quality	1
GO:0042592	0.788295439702538	0.867944989926161	32.7942569115625	29	378	homeostatic process	1
GO:0019725	0.788295439702538	0.867944989926161	32.7942569115625	29	378	cellular homeostasis	1
GO:0006950	0.846882212066187	0.908429492795341	164.05804185123	154	1891	response to stress	1
GO:0016049	0.945940306077467	0.663089560148384	18.8263326714526	13	217	cell growth	1
GO:0051704	0.979523779292544	0.664590239765631	32.9677714983962	23	380	multi-organism process	1
GO:0044419	0.979523779292544	0.664590239765631	32.9677714983962	23	380	interspecies interaction between organisms	1
GO:0044403	0.979523779292544	0.664590239765631	32.9677714983962	23	380	symbiosis, encompassing mutualism through parasitism	1
GO:0044699	0.980938436501466	0.824527057738968	407.932793645945	387	4702	single-organism process	1
GO:0044764	0.990547714641664	0.588174033788475	27.3285474263021	17	315	multi-organism cellular process	1
GO:0016032	0.990547714641664	0.588174033788475	27.3285474263021	17	315	viral process	1
GO:0007028	0.997979760574641	0.155623996420016	5.89949595234459	1	68	cytoplasm organization	1
GO:0008283	0.99921415823816	0.632932376427777	70.1866503742172	48	809	cell proliferation	1
GO:0044767	0.999950869317989	0.712224780652249	290.810447533221	247	3352	single-organism developmental process	1
GO:0050896	0.99995599188639	0.709058832088466	273.979532610356	230	3158	response to stimulus	1
GO:0044249	0.999964547934484	0.404202416221	33.9221017259814	15	391	cellular biosynthetic process	1
GO:0006412	0.999964547934484	0.404202416221	33.9221017259814	15	391	translation	1
GO:0009059	0.999964547934484	0.404202416221	33.9221017259814	15	391	macromolecule biosynthetic process	1
GO:0034645	0.999964547934484	0.404202416221	33.9221017259814	15	391	cellular macromolecule biosynthetic process	1
GO:1901576	0.999964547934484	0.404202416221	33.9221017259814	15	391	organic substance biosynthetic process	1
GO:0044707	0.999966765129094	0.705699616950444	282.828776538873	238	3260	single-multicellular organism process	1
GO:0032501	0.999966765129094	0.705699616950444	282.828776538873	238	3260	multicellular organismal process	1
GO:0007275	0.999970417869515	0.703900437390089	282.134718191538	237	3252	multicellular organismal development	1
GO:0032502	0.999987678172659	0.692437200891859	297.490759126317	250	3429	developmental process	1
GO:0040007	0.999991545705461	0.55273335687501	84.5016037879945	52	974	growth	1
GO:0006810	0.999993112984916	0.653272742146403	181.669772414847	137	2094	transport	1
GO:0051234	0.999993357729913	0.652776757380631	181.756529708263	137	2095	establishment of localization	1
GO:0051179	0.999993357729913	0.652776757380631	181.756529708263	137	2095	localization	1
GO:0040029	0.999997351285647	0.188319116253227	19.1733618451199	4	221	regulation of gene expression, epigenetic	1
GO:0010468	0.999997351285647	0.188319116253227	19.1733618451199	4	221	regulation of gene expression	1
GO:0060255	0.999997351285647	0.188319116253227	19.1733618451199	4	221	regulation of macromolecule metabolic process	1
GO:0019222	0.999997351285647	0.188319116253227	19.1733618451199	4	221	regulation of metabolic process	1
GO:0008219	0.999999684627382	0.493525188822694	84.241331907744	47	971	cell death	1
GO:0016265	0.999999742823113	0.491009083989675	84.5883610814113	47	975	death	1
GO:0015031	0.999999985080932	0.371044701155198	59.42874599053	25	685	protein transport	1
GO:0071702	0.999999985080932	0.371044701155198	59.42874599053	25	685	organic substance transport	1
GO:0045184	0.999999985986891	0.370413709904353	59.5155032839468	25	686	establishment of protein localization	1
GO:0033036	0.999999985986891	0.370413709904353	59.5155032839468	25	686	macromolecule localization	1
GO:0008104	0.999999985986891	0.370413709904353	59.5155032839468	25	686	protein localization	1
GO:0010467	0.999999988694152	0.329693552938762	50.9265312356805	19	587	gene expression	1
GO:0007154	0.999999999982008	0.518533834868401	193.642278906369	125	2232	cell communication	1
GO:0019538	0.999999999982186	0.512778601636733	185.747365205438	118	2141	protein metabolic process	1
GO:0044700	0.999999999986271	0.505550320814825	179.327325492592	112	2067	single organism signaling	1
GO:0023052	0.999999999986271	0.505550320814825	179.327325492592	112	2067	signaling	1
GO:0000003	0.999999999991659	0.465475945093394	143.583320604857	81	1655	reproduction	1
GO:0007010	0.999999999993224	0.291541791541792	64.8944554757904	22	748	cytoskeleton organization	1
GO:0009790	0.999999999998677	0.401509351073177	112.263937681381	54	1294	embryo development	1
GO:0071704	0.999999999998737	0.473264207242442	193.006475485661	127	2608	organic substance metabolic process	1
GO:0044238	0.999999999998767	0.476153461773361	200.333024976873	134	2707	primary metabolic process	1
GO:0006139	0.999999999999934	0.419522740151531	139.592485107683	72	1609	nucleobase-containing compound metabolic process	1
