GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	padj
GO:0050789	3.56038541123792e-15	2.06147034036538	378.874453378474	467	4339	regulation of biological process	2.99072374543985e-13
GO:0009607	5.10316514090584e-15	2.55426721947699	57.455494427987	117	658	response to biotic stimulus	4.23562706695185e-13
GO:0006950	2.2138999009747e-11	1.79248978201635	178.478769925236	252	2044	response to stress	1.81539791879926e-09
GO:0019538	9.5056584387208e-09	1.63355786895285	199.78445478911	264	2288	protein metabolic process	7.69958333536385e-07
GO:0009653	1.32668920596849e-06	1.52244375342967	181.622231626464	234	2080	anatomical structure morphogenesis	0.000106135136477479
GO:0007165	1.84500266007834e-06	1.52122772345884	172.104528142192	223	1971	signal transduction	0.000145755210146189
GO:0023052	2.40924702989498e-06	1.49575491788631	197.950768796727	250	2267	signaling	0.000187921268331809
GO:0044260	4.43905929244917e-06	1.49768447540448	171.231344336296	220	1961	cellular macromolecule metabolic process	0.000341807565518586
GO:0044249	6.55219245253822e-06	1.98223456223122	35.4512625193962	62	406	cellular biosynthetic process	0.000497966626392905
GO:0006412	6.55219245253822e-06	1.98223456223122	35.4512625193962	62	406	translation	0.000497966626392905
GO:0009059	6.55219245253822e-06	1.98223456223122	35.4512625193962	62	406	macromolecule biosynthetic process	0.000497966626392905
GO:0006518	6.55219245253822e-06	1.98223456223122	35.4512625193962	62	406	peptide metabolic process	0.000497966626392905
GO:1901566	6.55219245253822e-06	1.98223456223122	35.4512625193962	62	406	organonitrogen compound biosynthetic process	0.000497966626392905
GO:0043604	6.55219245253822e-06	1.98223456223122	35.4512625193962	62	406	amide biosynthetic process	0.000497966626392905
GO:0032501	1.39781401404315e-05	1.43094519506063	309.805614332064	360	3548	multicellular organismal process	0.000978469809830206
GO:0009790	1.54946994197847e-05	1.51721257808214	122.769643109042	164	1406	embryo development	0.00106913425996514
GO:0044763	6.84631447028344e-05	1.49020230473752	158.902325581395	196	1971	single-organism cellular process	0.00465549383979274
GO:0009605	7.79583382083272e-05	1.52056612118532	92.2955282832557	126	1057	response to external stimulus	0.00522320865995792
GO:0030154	0.000113849473685836	1.38937162380535	192.36239243899	234	2203	cell differentiation	0.00751406526326517
GO:0006810	0.000333085178479129	1.35449101796407	195.418535759628	234	2238	transport	0.0216505366011434
GO:0015031	0.000543999648417557	1.52936842105263	62.1706869798279	87	712	protein transport	0.0348159774987237
GO:0033036	0.000569549332025927	1.52666410435033	62.2580053604175	87	713	macromolecule localization	0.0358816079176334
GO:0043412	0.000670235571598281	1.39277418572771	116.919311609536	148	1339	macromolecule modification	0.0415546054390934
GO:0006464	0.000670235571598281	1.39277418572771	116.919311609536	148	1339	cellular protein modification process	0.0415546054390934
GO:0016043	0.00111293979479462	1.41139316341726	110.522103658537	138	1381	cellular component organization	0.0667763876876769
GO:0007049	0.00135198032233263	1.37823577624479	106.877697841727	135	1224	cell cycle	0.0797668390176252
GO:0060255	0.00200769802694554	1.82205128205128	20.4325010579771	34	234	regulation of macromolecule metabolic process	0.116446485562841
GO:0040029	0.00200769802694554	1.82205128205128	20.4325010579771	34	234	regulation of gene expression, epigenetic	0.116446485562841
GO:0007028	0.00288233822457182	2.60350877192982	6.19960502186486	14	71	cytoplasm organization	0.161410940576022
GO:0040007	0.00305815838890924	1.36874918932941	89.9379320073353	114	1030	growth	0.168198711390008
GO:0007010	0.0059498502349218	1.37587349461566	70.029341232896	90	802	cytoskeleton organization	0.321291912685777
GO:0006996	0.00617513486034644	1.34728631412655	85.7405757913154	107	1019	organelle organization	0.327282147598361
GO:0007275	0.00805658886346031	1.27629788061443	171.495688896709	196	2142	multicellular organismal development	0.418942620899936
GO:0000003	0.0098078161365842	1.25052637860047	156.125264494287	181	1788	reproduction	0.500198622965794
GO:0008219	0.0114751387395588	1.29760765550239	92.8194385667936	113	1063	cell death	0.573756936977939
GO:0008283	0.0141613426425181	1.30769139239904	78.7611792918606	97	902	cell proliferation	0.693905789483386
GO:0050896	0.0158863885302158	1.37641001454231	55.1749226006192	70	763	response to stimulus	0.762546649450357
GO:0065007	0.0163860423186508	3.29537671232877	2.10036363636364	6	38	biological regulation	0.770143988976586
GO:0051179	0.0220661308607318	1.23627134287033	127.326223337516	147	1526	localization	1
GO:0009719	0.0247425449155846	1.31671827780472	57.6301311891663	72	660	response to endogenous stimulus	1
