GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	padj
GO:0006073	9.10123100601509e-07	39.7783018867925	0.194645779752163	5	15	cellular glucan metabolic process	0.00089283076169008
GO:0006112	9.10123100601509e-07	39.7783018867925	0.194645779752163	5	15	energy reserve metabolic process	0.00089283076169008
GO:0006805	9.10123100601509e-07	39.7783018867925	0.194645779752163	5	15	xenobiotic metabolic process	0.00089283076169008
GO:0009410	9.10123100601509e-07	39.7783018867925	0.194645779752163	5	15	response to xenobiotic stimulus	0.00089283076169008
GO:0005978	9.12338731250253e-07	105.171339563863	0.0908346972176759	4	7	glycogen biosynthetic process	0.00089283076169008
GO:0009404	5.31146995972108e-06	52.5669781931464	0.129763853168108	4	10	toxin metabolic process	0.00518399468068777
GO:0005976	5.79552019452267e-06	24.84375	0.272504091653028	5	21	polysaccharide metabolic process	0.0056506321896596
GO:0033692	1.22709855063441e-05	39.4158878504673	0.15571662380173	4	12	cellular polysaccharide biosynthetic process	0.0119519398831791
GO:0055114	0.000124197171073058	3.14578408195429	6.17675941080196	17	476	oxidation-reduction process	0.120843847454086
GO:0005984	0.000168771497437809	39.0601851851852	0.116787467851298	3	9	disaccharide metabolic process	0.164045895509551
GO:0006011	0.000168771497437809	39.0601851851852	0.116787467851298	3	9	UDP-glucose metabolic process	0.164045895509551
GO:0007362	0.000196608161020851	16.5745204131825	0.29845686228665	4	23	terminal region determination	0.190709916190225
GO:0017085	0.000196608161020851	16.5745204131825	0.29845686228665	4	23	response to insecticide	0.190709916190225
GO:1901606	0.000374395838850456	13.6854937017473	0.350362403553893	4	27	alpha-amino acid catabolic process	0.362415172007241
GO:0044282	0.000522158028910759	6.58803463657833	1.01964452759588	6	80	small molecule catabolic process	0.504926813956704
GO:0009084	0.000553248643185555	23.425	0.168693009118541	3	13	glutamine family amino acid biosynthetic process	0.534438189317247
GO:0007305	0.000697501460618904	21.2929292929293	0.181669394435352	3	14	vitelline membrane formation involved in chorion-containing eggshell formation	0.673088909497242
GO:0009312	0.000697501460618904	21.2929292929293	0.181669394435352	3	14	oligosaccharide biosynthetic process	0.673088909497242
GO:0035803	0.000697501460618904	21.2929292929293	0.181669394435352	3	14	egg coat formation	0.673088909497242
GO:0046395	0.000891107270585163	7.46707013171947	0.752630348375029	5	58	carboxylic acid catabolic process	0.857245194302926
GO:0044711	0.000935601373185751	2.68123615652357	6.68283843815759	16	515	single-organism biosynthetic process	0.899112919631507
GO:0006525	0.00162675064740474	51.6207951070336	0.0648819265840542	2	5	arginine metabolic process	1
GO:0085029	0.00177112674694144	14.6302083333333	0.246551321019406	3	19	extracellular matrix assembly	1
GO:0006639	0.00206411647886572	13.7679738562092	0.259527706336217	3	20	acylglycerol metabolic process	1
GO:0010876	0.00235730576291238	5.89693044212898	0.934299742810381	5	72	lipid localization	1
GO:0019432	0.00241945346867676	38.7110091743119	0.0778583119008651	2	6	triglyceride biosynthetic process	1
