GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	padj
GO:0043207	4.01314649468472e-24	12.9402748414376	4.28220428220428	36	300	response to external biotic stimulus	3.42722710646075e-21
GO:0019731	5.83313301426172e-24	57.9306966618287	0.657587093757307	19	45	antibacterial humoral response	4.97566246116525e-21
GO:0009617	6.22388783655006e-24	17.363337299643	2.64736164736165	30	187	response to bacterium	5.30275243674065e-21
GO:0050830	5.19216823666128e-21	64.9734427812651	0.511456628477905	16	35	defense response to Gram-positive bacterium	4.41853516939875e-18
GO:0006959	6.00069974963766e-17	25.4572096368213	1.00199929436669	17	71	humoral immune response	5.10059478719201e-14
GO:0098542	8.27188764447544e-17	13.388908512893	2.38579992946985	23	172	defense response to other organism	7.02283261015965e-14
GO:0051704	1.08835563883344e-08	3.30554449311916	16.5557119399484	41	1157	multi-organism process	9.22925581730759e-06
GO:0050829	5.1481876158604e-08	10.4661654135338	1.28594809445873	11	88	defense response to Gram-negative bacterium	4.36051491063375e-05
GO:0006026	4.88585664563574e-06	56.544537815126	0.129640473123317	4	9	aminoglycan catabolic process	0.00413343472220784
GO:0009253	5.17474532836808e-06	55.695867768595	0.131517418751461	4	9	peptidoglycan catabolic process	0.00437265980247103
GO:1900424	8.30486686023907e-06	15.1278511404562	0.496843581949965	6	34	regulation of defense response to bacterium	0.00700930763004178
GO:0006952	1.0658022752795e-05	8.7048128342246	1.07307692307692	8	96	defense response	0.00898471318060622
GO:0009620	1.59812443845277e-05	36.7587719298246	0.166451157869989	4	12	response to fungus	0.0134562077717723
GO:0016045	2.98222169578844e-05	103.610655737705	0.0730652326397007	3	5	detection of bacterium	0.0250804844615808
GO:0010951	3.88413714016432e-05	27.8314049586777	0.204582651391162	4	14	negative regulation of endopeptidase activity	0.0326267519773803
GO:0002702	5.51319330793544e-05	14.5920138888889	0.423778349310264	5	29	positive regulation of production of molecular mediator of immune response	0.0462556918535783
GO:0002760	5.51319330793544e-05	14.5920138888889	0.423778349310264	5	29	positive regulation of antimicrobial humoral response	0.0462556918535783
GO:0098581	0.00010215939942819	51.7930327868852	0.102291325695581	3	7	detection of external biotic stimulus	0.0855074173213948
GO:0080134	0.00016454722468722	3.88985461441214	3.44867898059387	12	236	regulation of response to stress	0.137561479838516
GO:0002803	0.000214528835012705	16.3578026251823	0.306873977086743	4	21	positive regulation of antibacterial peptide production	0.179131577235609
GO:0031349	0.000323781771746119	7.2770211532889	0.935234977788169	6	64	positive regulation of defense response	0.270033997636263
GO:0002808	0.000368181240963105	13.899173553719	0.350713116670563	4	24	regulation of antibacterial peptide biosynthetic process	0.306694973722267
GO:0030203	0.000368181240963105	13.899173553719	0.350713116670563	4	24	glycosaminoglycan metabolic process	0.306694973722267
GO:0050778	0.000415880941557086	6.91665518666483	0.97907411737199	6	67	positive regulation of immune response	0.345597062433939
GO:0051346	0.000433387634530967	13.2357339630067	0.365326163198504	4	25	negative regulation of hydrolase activity	0.359711736660702
GO:0008063	0.000540466828693866	12.3669859985262	0.385895032802249	4	27	Toll signaling pathway	0.448047000987215
GO:0019732	0.000608640930669494	23.0054644808743	0.175356558335282	3	12	antifungal humoral response	0.503954690594341
GO:0061057	0.000748122910359104	21.04	0.187039419815183	3	13	peptidoglycan recognition protein signaling pathway	0.618697646866979
GO:0002920	0.000843763678280465	7.59329710144928	0.745265372924947	5	51	regulation of humoral immune response	0.696948798259664
GO:0006508	0.000937092421435982	2.4549218335983	8.6824427480916	19	611	proteolysis	0.773101247684685
